reviewer,date_reviewed,star_rating,message,order_id
Samantha,04/01/2026,5,"This G-tube extension holder is phenomenal. As a mom who is relatively new to the medically complex world, it is amazing to see what other families who are going through the same things have come up with to make life easier. I’ve always hated having our extensions laying flat to dry thinking that they never really get clean. This way they can completely dry out and not make a mess or be laying all over my counters. Totally worth it and arrived so fast!",4011589642
Melissa,03/27/2026,5,My daughter thinks this will come very handy and she is looking forward to using it!,4010171223
Tiffany,03/19/2026,5,Works perfectly for a gj tube,3993568564
katie,02/22/2026,5,Great item.  Just as described.,3978225397
Jason,02/15/2026,5,They are very nicely 3d printed holders. I have used them for a couple weeks now and it works great.,3932518709
Erin Gresser,02/08/2026,5,This item was better then expected! The item did match. I ordered another one.,3959454975
Beatriz,01/25/2026,1,Found a bug within the item,3947731668
Emily,01/22/2026,5,Perfect for what I needed,3923081880
Molly,01/20/2026,5,Works great! 2nd time purchasing,3890117022
Katlyn,01/12/2026,5,Just as described.  Makes tube feeding alot easier and looks nice on wall,3923165412
cgwelcome,12/28/2025,5,Arrived on time as described,3848127056
Kyrsten,12/21/2025,3,they work as described but they do not glow in the dark as advertised (regardless of how much sunlight or other light they are exposed to).,3842777833
Kyrsten,12/21/2025,3,These do the job they were meant to do but they don’t really glow in the dark like they are advertised to… regardless of their exposure to sunlight or any other light source.,3842777833
Molly,12/03/2025,5,Works well ordering more for other sizes I need!,3875150881
Molly,12/03/2025,5,Works well! They use command strips to attach to wall. Which I like better because if I need to relocate for any reason I can continue to use elsewhere!,3875150881
Kristin,11/24/2025,5,"Works as expected.  Love it. I have the 60 ML syringes, 10 ML syringes and y extension holders all in a row makes tube flushes and changes ans meds so much easier.",3865481262
Kristin,11/24/2025,5,"Works as expected.  Love it. I have the 60 ML syringes, 10 ML syringes and y extension holders all in a row makes tube flushes and changes ans meds so much easier.",3865481262
Kristin,11/24/2025,5,"Works as expected. Love it. Have the 10 ml syringe, 60 ml syringe and y extention holders all in a row.",3865481262
santo837,11/24/2025,5,"Exactly what I needed, and exactly as pictured. Thank you!!",3844420675
santo837,11/24/2025,5,"Exactly what I needed, and exactly as pictured. Thank you!!",3844420675
Lauren,11/22/2025,2,Falls apart easy and it’s cheaply made. Sorry.,3772925549
Emma,11/16/2025,5,So great for drying extensions.,3778018657
eva,11/12/2025,1,This item was terrible . The Velcro used to attach this to a surface was not strong enough to hold the syringe. It was a mess,3822199239
Theresa,11/08/2025,5,Use this in my health office. I love this thing!,3790110472
Carmen Cruz,11/07/2025,5,Thanks you for all you do!,3796594448
Carrie,10/28/2025,5,just what we needed for our tubes,3807616083
Martha,10/11/2025,4,"Well made, shipped quickly. I thought the marble looked brown in the photos but it was more of a blue/grey. Doesn’t impact functionality. I have a couple of different kind of extensions and one doesn’t fit (bolus), but that was my own fault for not realizing the size difference. Great way to keep my extensions clean and dry. I store it with the syringe I use to clean them so it is easy and handy. Would recommend and order again",3744410834
